URL,USERID,USERNAME,Comment,Sentiment
https://www.instagram.com/p/CNt1sCzhsBa/,395555033,ackonn,??,
https://www.instagram.com/p/CNt1sCzhsBa/,5422260017,lisalibrany,Whoa!,
https://www.instagram.com/p/CNt1sCzhsBa/,177893917,serhii.ps,So ugly ??,
https://www.instagram.com/p/CNt1sCzhsBa/,24104291709,anything.4.viewss,"@serhii.ps kinda cool tbh, prob its like aerodynamics that's why the design is like that",
https://www.instagram.com/p/CNt1sCzhsBa/,49376978011,steve40side,????,
https://www.instagram.com/p/CNt1sCzhsBa/,44452417714,rezarezareza1130,"Hello Good time I am requesting financial assistance to create jobs in Iran and entrepreneurship. I am sending this message to you from Iran, Bushehr province, Borazjan city. Regarding the devaluation of the Rial in Iran, the amount I want is at least $ 1 million. Undoubtedly, your help will be appreciated by God. I am sure that by receiving such powerful and glorious love, I will continue the path of life. I hope you will get the most out of life by participating in this job creation. Thanks",
https://www.instagram.com/p/CNt1sCzhsBa/,240777930,jon_ufc,What in the name of Walmart is that?,
https://www.instagram.com/p/CNt1sCzhsBa/,337682103,cburias,@matajacinich,
https://www.instagram.com/p/CNt1sCzhsBa/,12487887446,midwestcommando99,"Rather than having a giant wiper blade, have you looked into using ultrasonic vibration on the widescreen like they use on fighter jets? Not sure if the tech is there but might be cool if you can figure out the right frequency to oscillate at",
https://www.instagram.com/p/CNt1sCzhsBa/,7555558691,greenwrenchstudio,@midwestcommando99 wait...water sticks to a windscreen at 400mph? News to me #formerjetenginetech #f22,
https://www.instagram.com/p/CNt1sCzhsBa/,12487887446,midwestcommando99,"@greenwrenchstudio McLaren developed it for military aviation although it hasn't been implemented probably due to it not being necessary, they are now reviewing the tech to see if it could replace wipers altogether. I believe Mercedes Benz is also working on this.",
https://www.instagram.com/p/CNt1sCzhsBa/,7555558691,greenwrenchstudio,"@midwestcommando99 that would be super awesome to see in action. I personally cannot stand watching or hearing wipers on the front glass. RainX and 60mph solves this. I drove for a year with no wipers, only a strong shoulder from applying the juice ????",
https://www.instagram.com/p/CNt1sCzhsBa/,7555558691,greenwrenchstudio,@midwestcommando99 thank you for the knowledge ??,
https://www.instagram.com/p/CNt1sCzhsBa/,51665729348,sagenderheimat_suhl_985_,#senna Formel 1,
https://www.instagram.com/p/CNt1sCzhsBa/,49764119099,koii2ku,Now what is this,
https://www.instagram.com/p/CNt1sCzhsBa/,6232506551,_maazbaig_,This truck has best stability because it is broad in size ??,
https://www.instagram.com/p/CNt1sCzhsBa/,31746303682,atypicaltini,When will we get an electric 7 + seater?,
https://www.instagram.com/p/CNt1sCzhsBa/,48295914739,j_117_xo,????,
https://www.instagram.com/p/CNt1sCzhsBa/,219922927,vicmarcelli,"I order one of those and pay 100$ my order vanish , I hope you guys don’t do this with all the clients believed in Tesla !! Please guys tell me what’s going on",
https://www.instagram.com/p/CNt1sCzhsBa/,10136985310,rolloszn,@vicmarcelli what?,
https://www.instagram.com/p/CNt1sCzhsBa/,219922927,vicmarcelli,"@rolloszn  yes they told me they put order in hold , I don’t like that from Tesla as I m or was a big fan of them",
https://www.instagram.com/p/CNt1sCzhsBa/,10136985310,rolloszn,@vicmarcelli did you but it from the actual website?,
https://www.instagram.com/p/CNt1sCzhsBa/,219922927,vicmarcelli,@rolloszn  yes of course I did from Tesla website .,
https://www.instagram.com/p/CNt1sCzhsBa/,10136985310,rolloszn,@vicmarcelli for how much? Pre ordering the cyber truck does cost quite a bit of money,
https://www.instagram.com/p/CNt1sCzhsBa/,219922927,vicmarcelli,@rolloszn is just a reservation or ore order with 100$ deposit but immagine if 1000000 people pre order and drop 100$ and the company keep the money and cancel the order??,
https://www.instagram.com/p/CNt1sCzhsBa/,10136985310,rolloszn,@vicmarcelli and you’re sure you haven’t been refunded?,
https://www.instagram.com/p/CNt1sCzhsBa/,219922927,vicmarcelli,@rolloszn  no refunded but I don’t care about it I want my reservation in@line to go ??,
